host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_private_rooms
2022-06-30,,within an hour,100%,100%,f,54.0,t,t,St George West,51.46002580878734,-2.5520843556540096,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1.0,90.0,2.0,90.0,0.0,61.0,0.0,t,32.0,0.0
2015-09-01,"Bristol, United Kingdom",within a day,83%,42%,f,2.0,t,t,Ashley,51.47116,-2.58976,Private room,2.0,1.0,1 bath,1.0,1.0,1.0,365.0,1.0,365.0,27.0,259.0,53.0,f,2.0,1.0
2015-01-23,"Bristol, United Kingdom",,,100%,f,1.0,t,t,Cotham,51.4639,-2.59297,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,14.0,365.0,2.0,365.0,7.0,18.0,3.0,f,1.0,0.0
2021-10-12,,within a few hours,100%,43%,t,1.0,f,t,Westbury-on-Trym & Henleaze,51.4859133,-2.6053593,Private room,1.0,1.0,1 private bath,1.0,1.0,1.0,30.0,1.0,30.0,17.0,167.0,43.0,f,1.0,1.0
2014-04-18,"Bristol, United Kingdom",within a day,100%,61%,f,1.0,t,t,Lawrence Hill,51.45279,-2.58266,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,3.0,365.0,3.0,365.0,2.0,21.0,19.0,f,1.0,0.0
2017-04-13,"Bristol, United Kingdom",within an hour,99%,97%,f,100.0,t,t,Southville,51.44416,-2.59994,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1.0,1125.0,2.0,1125.0,23.0,357.0,51.0,f,67.0,0.0
2014-11-09,"Bristol, United Kingdom",within an hour,100%,77%,t,5.0,t,f,Brislington West,51.4351,-2.55306,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,14.0,365.0,14.0,365.0,30.0,313.0,0.0,f,4.0,3.0
2024-04-16,"Bristol, United Kingdom",within an hour,100%,98%,t,1.0,t,t,Central,51.46211,-2.59136,Private room,1.0,1.0,1 shared bath,1.0,1.0,1.0,30.0,1.0,30.0,20.0,63.0,79.0,f,1.0,1.0
2015-01-25,"Bristol, United Kingdom",within an hour,100%,100%,t,1.0,t,t,Ashley,51.46705,-2.57692,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,2.0,1125.0,2.0,1125.0,21.0,75.0,101.0,t,1.0,0.0
2016-02-03,"Bristol, United Kingdom",within a few hours,100%,99%,f,6.0,t,t,Eastville,51.47364,-2.56017,Private room,1.0,3.0,3 shared baths,1.0,1.0,5.0,1125.0,5.0,1125.0,0.0,16.0,64.0,f,6.0,6.0
2021-07-03,"Cheltenham, United Kingdom",within an hour,83%,100%,f,15.0,t,t,Ashley,51.46001526114597,-2.585203300000003,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1.0,365.0,2.0,365.0,19.0,325.0,15.0,t,15.0,0.0
2014-11-29,"Bristol, United Kingdom",within an hour,100%,99%,t,3.0,t,t,Cotham,51.46507,-2.60272,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2.0,90.0,2.0,1125.0,6.0,285.0,91.0,t,2.0,1.0
2019-08-26,"England, United Kingdom",within a few hours,100%,88%,t,3.0,t,t,Cotham,51.47154,-2.60813,Private room,2.0,2.0,2 shared baths,1.0,1.0,4.0,1125.0,4.0,1125.0,18.0,353.0,48.0,f,3.0,3.0
2013-01-30,"Bristol, United Kingdom",within an hour,100%,64%,t,2.0,t,t,Southville,51.44046,-2.61292,Entire home/apt,5.0,2.5,2.5 baths,3.0,2.0,1.0,40.0,1.0,40.0,5.0,5.0,12.0,f,2.0,1.0
2016-03-31,"Bristol, United Kingdom",within an hour,100%,100%,f,210.0,t,t,Central,51.460604,-2.5931229,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1.0,365.0,1.0,1125.0,11.0,345.0,14.0,t,148.0,3.0
2017-06-12,"Manchester, United Kingdom",within an hour,100%,98%,f,8.0,t,t,Central,51.46126,-2.59338,Entire home/apt,4.0,1.0,1 bath,1.0,3.0,4.0,365.0,2.0,1125.0,16.0,16.0,60.0,t,3.0,0.0
2024-04-02,"Bristol, United Kingdom",within an hour,100%,100%,f,2.0,t,t,Hillfields,51.47485738502999,-2.5284216965841293,Entire home/apt,7.0,1.0,1 bath,4.0,5.0,2.0,28.0,1.0,28.0,28.0,213.0,7.0,t,2.0,0.0
2016-07-17,"Bristol, United Kingdom",within an hour,100%,100%,f,1.0,t,t,Easton,51.46394,-2.55327,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2.0,21.0,1.0,21.0,2.0,39.0,4.0,t,1.0,0.0
2021-07-02,"England, United Kingdom",within a few hours,100%,75%,f,1.0,t,t,Clifton Down,51.46964090842283,-2.613615168971335,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,4.0,365.0,4.0,365.0,0.0,249.0,16.0,t,1.0,0.0
2019-02-20,"Topsham, United Kingdom",within an hour,100%,100%,f,1.0,t,t,Lawrence Hill,51.45588,-2.58315,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,3.0,28.0,3.0,1125.0,5.0,74.0,168.0,f,1.0,0.0
2013-03-21,"Bristol, United Kingdom",within an hour,100%,99%,f,14.0,t,t,Horfield,51.493627182914224,-2.593849266550329,Private room,1.0,0.5,Shared half-bath,1.0,1.0,5.0,365.0,5.0,365.0,14.0,345.0,3.0,t,11.0,7.0
2018-08-28,"England, United Kingdom",within an hour,100%,100%,f,1.0,t,t,Stockwood,51.42748,-2.56146,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1.0,1125.0,1.0,1125.0,26.0,300.0,23.0,f,1.0,0.0
2014-12-28,"Bristol, United Kingdom",within an hour,100%,91%,t,1.0,t,t,Hotwells & Harbourside,51.45013,-2.607,Entire home/apt,2.0,1.5,1.5 baths,1.0,2.0,3.0,18.0,3.0,18.0,28.0,144.0,51.0,f,1.0,0.0
2019-01-14,"Bristol, United Kingdom",within an hour,100%,100%,t,60.0,t,t,Lawrence Hill,51.45277,-2.57641,Entire home/apt,6.0,1.5,1.5 baths,2.0,3.0,2.0,1125.0,2.0,2.0,18.0,344.0,43.0,t,47.0,0.0
2015-05-07,"Bristol, United Kingdom",within an hour,100%,100%,t,14.0,t,t,Eastville,51.47353,-2.55143,Entire home/apt,12.0,2.0,2 baths,5.0,9.0,2.0,730.0,2.0,90.0,26.0,95.0,73.0,f,11.0,5.0
2016-02-29,"Bristol, United Kingdom",a few days or more,0%,0%,f,1.0,t,t,Southville,51.44338,-2.6105,Private room,1.0,1.5,1.5 shared baths,1.0,1.0,30.0,150.0,30.0,150.0,28.0,88.0,7.0,f,1.0,1.0
2014-12-21,"Bristol, United Kingdom",within an hour,100%,100%,t,5.0,t,t,Avonmouth & Lawrence Weston,51.49455,-2.65096,Private room,1.0,1.0,1 shared bath,1.0,1.0,1.0,365.0,1.0,365.0,30.0,365.0,15.0,f,4.0,4.0
2015-06-06,"Bristol, United Kingdom",within an hour,100%,100%,t,3.0,t,t,Easton,51.46144,-2.55936,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2.0,30.0,2.0,30.0,11.0,332.0,3.0,f,3.0,1.0
2016-11-13,"Bristol, United Kingdom",,,86%,t,2.0,t,t,Windmill Hill,51.43741,-2.59685,Private room,2.0,1.0,1 private bath,1.0,1.0,2.0,30.0,2.0,30.0,10.0,10.0,7.0,f,2.0,1.0
2019-08-26,"England, United Kingdom",within a few hours,100%,88%,t,3.0,t,t,Cotham,51.46981,-2.60611,Private room,2.0,2.0,2 baths,1.0,2.0,4.0,1125.0,4.0,1125.0,0.0,136.0,52.0,f,3.0,3.0
